"Species","Nsites","Nyears","OLS_a","OLS_mu","OLS_S","OLS_J","OLS_R2","GLS_a","GLS_mu","GLS_S","GLS_J","deltaAIC","PC1_trophic","PC2_trophic","PC1_life","PC2_life","PC1_habitat","PC2_habitat","PC1_habsub","PC2_habsub"
"Etheostoma caeruleum",38,32,0.550228530249696,1.81789314926521,-0.0297661456982699,3.85602535429455,0.974873611616548,0.308656815288996,1.81487440030363,-0.0309098881191673,4.2666922654999,-13.4460956445546,-0.0874307466775726,0.218656210204196,0.0870608463831429,0.0160409794159257,0.154793845536501,-0.0805626266895761,0.344226997594178,0.174459127367647
"Etheostoma exile",58,26,2.59419963747817,1.86563252218995,-0.00134064060603376,0.275593821891222,0.986261355211058,2.59419963615023,1.86563252165267,-0.00134064063219619,0.275593823524075,-21.2404921759638,-0.137571398735266,0.0682502795512869,0.0774716085894681,0.0446831098123109,-0.00430201029793129,0.227284661377695,-0.132032133971094,0.0254616837132304
"Etheostoma flabellare",196,34,2.38151629972032,1.84951172538296,-0.00849098548857405,0.74793276282337,0.984027434584618,2.43934399812846,1.84755463901224,-0.00873920743307657,0.678683734130501,-22.19542062836,-0.0874307466775726,0.218656210204196,0.0706672735521121,0.0575972562616227,0.159765276101535,-0.188576139309589,0.343861398412517,0.177962074857001
"Etheostoma nigrum",373,32,2.74221364192645,1.8270276966091,-0.0130493578137141,0.436253155252216,0.964566328029713,2.74221364137905,1.82702769662688,-0.0130493578044182,0.436253155606981,-24.4051635190801,-0.0835613093979992,0.235592540765975,0.071239206499857,0.0795085886711159,-0.107134275180249,0.108318211608443,-0.352650997279156,0.0797156578507568
"Etheostoma olmstedi",222,27,2.70627768593855,1.76754220326645,-0.0119045852302089,0.08200239643441,0.972109500062757,2.70627768756745,1.76754220337392,-0.0119045852334475,0.0820023941570843,-23.0005550936994,-0.0835613093979992,0.235592540765975,0.0904212939435028,0.0425740244799805,0.0312243152546576,0.080057342263037,-0.0243042638599794,0.190569820718108
"Etheostoma serrifer",23,18,2.38660273070438,1.66970247313325,-0.0066847303922996,-0.482383908802153,0.952768360150248,2.60463229066494,1.82679979280154,-0.00121732148537693,-0.496726460948517,-12.5398391670086,-0.0835613093979992,0.235592540765975,0.0867884184846822,0.103802246053512,-0.200396539255497,0.0835125580002389,-0.11053417085231,-0.203078392171501
"Etheostoma spectabile",24,24,2.01976622586317,1.61604319470305,-0.00072148834860445,0.31625610950235,0.983442806599928,2.01976622614551,1.61604319463647,-0.000721488351851348,0.31625610926284,-15.8712058367522,-0.0874307466775726,0.218656210204196,0.0786555431284027,0.0498838513172117,0.134584910788006,-0.179975058592702,0.284561489726543,-0.110281936583568
"Etheostoma vitreum",38,20,1.86977382998616,1.70462735586405,0.000571530711514239,0.378954049502138,0.968588281599826,1.86977383154888,1.70462735588543,0.000571530701799191,0.378954047696789,-14.6121400971979,-0.0835613093979992,0.235592540765975,0.0847851699643225,0.106950128978391,0.225760876145416,-0.0318277404941786,0.301940947890934,-0.106615776568986
"Etheostoma zonale",76,25,2.16914842417991,1.71355688604122,-0.00948382429908874,0.709856793298911,0.973357045699641,2.16914842260472,1.71355688598188,-0.00948382429499973,0.709856795089335,-19.2578636490283,-0.246449047815746,0.133896898523972,0.0522349266961926,0.0553911090218169,0.165253119480747,0.00263550341692972,0.384074648131437,0.290023737639385
"Exoglossum maxillingua",7,20,6.69406266904662,1.59925238248787,-0.00059720938062982,-5.74078247876745,0.994597337115109,6.69406266995887,1.59925238244747,-0.000597209402569767,-5.74078247952335,-Inf,0.193223847356719,-0.00655248069731163,0.0328522479803169,0.0540528117990171,0.21140263384046,-0.10334419818782,0.28841402863802,0.167046620107427
"Fundulus catenatus",5,15,14.9074124637342,1.30354661737103,-0.102496043194233,-14.2192908591004,0.95688102642884,18.1722041331923,1.39766112150803,-0.123693531640252,-18.1597192913267,-21.0428565351729,-0.204752002947738,-0.0428324499147343,0.0828291367509867,-0.0326535537364435,0.229919106410291,0.0269760960744799,0.214459386192443,-0.0742506951013177
"Fundulus diaphanus",10,15,1.82526347922512,1.79158465962222,0.0047551976912282,0.365002757885977,0.999018691746518,1.82526347922823,1.79158465962227,0.0047551976911917,0.365002757882489,-34.6620007451086,-0.0516351283804303,-0.0732242418333987,0.162952733558699,-0.0727731602049991,-0.084732914292355,0.177594964218098,-0.340088116439358,0.106899970450327
"Fundulus notatus",28,27,3.17204167631093,1.59957155603061,-0.0237105637964275,0.114917780289528,0.946152488910059,3.21986732114529,1.60190332470965,-0.0236546491519613,0.0355174760713311,-16.1130822936225,-0.120882545401717,0.0990488596451022,0.103240224839015,-0.0124712686415471,-0.0914964363434632,0.154990502505481,-0.299566213727234,-0.0968116526984886
"Fundulus olivaceus",9,22,2.46141926635202,1.51505867534776,-0.0134303701973586,-0.181336226719767,0.942927269327915,2.46141926500078,1.51505867521866,-0.0134303701915163,-0.181336225298542,-30.888468340591,-0.0273036497045647,0.0932589493152357,0.173238540700326,-0.0493938623103092,-0.0428554411804535,-0.112453316044076,0.0838359809309554,-0.310006430439861
"Fundulus rathbuni",62,24,0.655605922080687,1.88266908917321,0.0108889162118849,2.14964909381898,0.98556283019528,0.655605901752514,1.88266908932389,0.0108889162871642,2.1496491190722,-19.1172173798055,-0.120882545401717,0.0990488596451022,0.0682557146248737,0.0294966634093163,-0.114005763926192,0.0321283555767476,-0.0543670604046865,-0.204283212947394
